index	story_id	firm	title	link	published	snippet	source	firm_in_title	query_string
0	1954734786434129535	Alliance Trust Savings Limited	Alliance Trust PLC - Transaction in Own Shares	https://uk.sports.yahoo.com/news/alliance-trust-plc-transaction-own-060000561.html&ct=ga&cd=CAIyHjMyODU4OTZkODM5NmZmZTU6Y28udWs6ZW46R0I6Ug&usg=AFQjCNHWbkutrPOL80XWsDcwNqNaW-e7CA	2021-07-20T06:03:45Z	The Board of Alliance Trust PLC (&quot;the Company&quot;) announces that on 19 July 2021 the Company purchased for cancellation 50,000 ordinary shares of&nbsp;...	uk.sports.yahoo.com	1.0	"""alliance trust"""
0	12864464468331165411	AIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) Plc	Global Consumer Banking Service Market Growth, Trends and Forecast 2021 to 2026 – Allied Irish ...	https://manometcurrent.com/global-consumer-banking-service-market-growth-trends-and-forecast-2021-to-2026-allied-irish-bank-uk-aldermore-bank-bank-of-ireland-uk-close-brothers/&ct=ga&cd=CAIyHDA4ZGNiZmI3ODJlNWM4ZTI6Y28udWs6ZW46VVM&usg=AFQjCNEB2cWMtZcG2RLz4o4MffYFuC0pSQ	2021-07-20T14:59:47Z	Allied Irish Bank (UK); Aldermore Bank; Bank Of Ireland UK; Close Brothers; The Co-Operative Bank; Cybg (Clydesdale And Yorkshire Banks); First&nbsp;...	manometcurrent.com	1.0	"""allied irish"" OR AIB"
1	12724902838836485689	AIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) Plc	AIB : Irish consumers make lifestyle changes now to reduce C02 emissions as 42% say they are ...	https://www.marketscreener.com/quote/stock/AIB-GROUP-PLC-39040632/news/AIB-Irish-consumers-make-lifestyle-changes-now-to-reduce-C02-emissions-as-42-say-they-are-feeling-35901673/&ct=ga&cd=CAIyHDA4ZGNiZmI3ODJlNWM4ZTI6Y28udWs6ZW46VVM&usg=AFQjCNGVlXUDLcjzu9w0Qnl9THKxGnoYrA	2021-07-20T14:37:30Z	AIB GROUP PLC. A5G. Real-time Quote. Real-time - 07/20 10&nbsp;...	marketscreener.com	1.0	"""allied irish"" OR AIB"
2	11175560510257591163	AIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) Plc	Video: Near-record temperatures, pharmacies hit 100000 jabs, indoor dining talks	https://www.breakingnews.ie/video-news/live-near-record-temperatures-pharmacies-hit-100000-jabs-indoor-dining-talks-1160495.html&ct=ga&cd=CAIyHDA4ZGNiZmI3ODJlNWM4ZTI6Y28udWs6ZW46VVM&usg=AFQjCNFl4OkhEycALMQpAtjFqVoPC9RX_g	2021-07-20T11:48:45Z	Cork road collision &middot; Day of mourning &middot; Warm week ahead &middot; Pharmacies reach 100,000 jabs &middot; Rogue restaurants &middot; Covid cert helpline &middot; AIB closures &middot; Read&nbsp;...	breakingnews.ie	0.0	"""allied irish"" OR AIB"
3	9769866652893849762	AIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) PlcAIB Group (UK) Plc	Work began yesterday on the construction of a new €22 million residential care unit in Tuam	https://www.midwestradio.ie/index.php/news/49492-work-began-yesterday-on-the-construction-of-a-new-22-million-residential-care-unit-in-tuam&ct=ga&cd=CAIyHDA4ZGNiZmI3ODJlNWM4ZTI6Y28udWs6ZW46VVM&usg=AFQjCNHEaH2CD9pcB7be9yXqBDZVRkz9cw	2021-07-20T08:28:12Z	The AIB branch on Newcastle Road in Galway is closing in December, and it services will be merged with Lynch&#39;s Castle in the city. The vast majority of&nbsp;...	midwestradio.ie	0.0	"""allied irish"" OR AIB"
0	7892244397376597551	Bank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of America	Local dance team raises money after being scammed out of thousands of dollars	https://www.wric.com/news/local-news/local-dance-team-raises-money-after-being-scammed-out-of-thousands-of-dollars/&ct=ga&cd=CAIyHDcxOWUxYjE1YTc5ODlmNGQ6Y28udWs6ZW46VVM&usg=AFQjCNEmLfvSvZIiE0p7be3Cs5Nl0nwWxQ	2021-07-21T04:41:15Z	Jones received emails sent from a fake Bank of America domain and a confirmation of transaction email from Chase, a bank she doesn&#39;t have an&nbsp;...	wric.com	0.0	"""bank of america"""
1	11041007550878409823	Bank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of America	As China&#39;s debt risks grow, here are 3 warning signs to watch	https://www.cnbc.com/2021/07/21/as-china-debt-risks-grow-here-are-3-warning-signs-to-watch.html&ct=ga&cd=CAIyHDcxOWUxYjE1YTc5ODlmNGQ6Y28udWs6ZW46VVM&usg=AFQjCNH2p0GFgmiKs9ylrsQIFgJ7zMDrhw	2021-07-21T02:48:45Z	For investment-grade bonds in China, a major factor for future performance is how the case of Huarong Asset Management is resolved, Bank of America&nbsp;...	cnbc.com	0.0	"""bank of america"""
2	2648502979738891645	Bank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of America	E-commerce firm Bukalapak prices Indonesia&#39;s biggest IPO at top end - sources	https://www.reuters.com/technology/bukalapak-raises-15-bln-indonesias-biggest-ipo-sources-2021-07-21/&ct=ga&cd=CAIyHDcxOWUxYjE1YTc5ODlmNGQ6Y28udWs6ZW46VVM&usg=AFQjCNFn6igPM-mBrKhfbWffpYZYxuudMw	2021-07-21T02:41:50Z	Bank of America and UBS are the joint global coordinators and bookrunners with Mandiri. Reporting by Anshuman Daga and Scott Murdoch; Editing&nbsp;...	reuters.com	0.0	"""bank of america"""
3	682954181835696675	Bank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of America	BofA Hit With Suit Over Frozen Calif. Unemployment Benefits	https://www.law360.com/classaction/articles/1404912/bofa-hit-with-suit-over-frozen-calif-unemployment-benefits&ct=ga&cd=CAIyHDcxOWUxYjE1YTc5ODlmNGQ6Y28udWs6ZW46VVM&usg=AFQjCNHAmz-yUvV8yw2Qwb0WJyHmE553PA	2021-07-21T00:33:45Z	According to the complaint, Bank of America was hacked in 2020 due to &quot;lax security breaches&quot; and improperly responded afterward. &quot;BOA chose to&nbsp;...	law360.com	0.0	"""bank of america"""
4	13523080473001741456	Bank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of AmericaBank of America	Google&#39;s new Gmail security feature could save you from phishing attacks	https://bgr.com/tech/googles-new-gmail-security-feature-could-save-you-from-phishing-attacks/&ct=ga&cd=CAIyHDcxOWUxYjE1YTc5ODlmNGQ6Y28udWs6ZW46VVM&usg=AFQjCNGyY8diAOViGD41DmtwuBs-QnzHAA	2021-07-21T00:11:15Z	“Bank of America has a wide range of security measures in place to support our customers, and we constantly evolve our program to deliver best in&nbsp;...	bgr.com	0.0	"""bank of america"""
